id,title,href,text,date_time
1,"Рынок акций открылся ростом индексов МосБиржи и РТС на 1,3-1,9% во главе с ""Газпромом""",https://www.interfax.ru/business/865643,"Москва. 30 сентября. INTERFAX.RU - Рынок акций РФ открылся в пятницу ростом цен большинства blue chips во главе с ""Газпромом"" в ожидании утверждения дивидендных выплат за полугодие акционерами концерна, ""бычий"" настрой сдерживается сохраняющейся геополитической напряженностью в свете признания Россией независимости Херсонской и Запорожской областей. Индексы МосБиржи и РТС за минуту торгов прибавили 1,3-1,9%.К 10:01 индекс МосБиржи составил 1978,57 пункта (+1,3%), индекс РТС - 1092,33 пункта (+1,9%); цены большинства ""голубых фишек"" на ""Московской бирже"" выросли в пределах 5,3%.Доллар просел до 57,1 рубля (-0,12 рубля).Подорожали акции ""Газпрома"" (+5,3%), ""Газпром нефти"" (+2,4%), АФК ""Система"" (+1,7%), Сбербанка (+1,5% и +1,5% ""префы""), ""Норникеля"" (+1,5%), ""Роснефти"" (+1,2%), ""МТС"" (+1%), ""Аэрофлота"" (+0,9%), ""ММК"" (+0,9%), ""НОВАТЭКа"" (+0,9%), ""НЛМК"" (+0,8%), расписки TCS Group (+0,8%), OZON (+0,8%), бумаги ""Московской биржи"" (+0,7%), ""Интер РАО"" (+0,7%), ""Сургутнефтегаза"" (+0,6% и +1,1% ""префы""), ""Магнита"" (+0,6%), ""АЛРОСА"" (+0,5%), ""Северстали"" (+0,5%), ""Татнефти"" (+0,5%), ВТБ (+0,4%), ""РусГидро"" (+0,2%), ""ЛУКОЙЛа"" (+0,1%).Подешевели акции ПАО ""Полюс"" (-0,6%), Polymetal (-0,6%), UC Rusal (-0,3%), ""Яндекса"" (-0,3%).В пятницу пройдет внеочередное заочное собрание акционеров ""Газпрома"", где будет решаться вопрос о выплате промежуточных дивидендов (за первое полугодие рекомендовано выплатить 51,03 руб. на акцию).Кроме того, в четверг после недельной профилактики вновь заработал газопровод из России в Китай ""Сила Сибири"", сообщил концерн. В 2021 году осенняя профилактика на ""Силе Сибири"" также проводилась в течение недели в конце сентября.Как отмечает ведущий аналитик отдела глобальных исследований ""Открытие Research"" Андрей Кочетков, внешний фон утром в пятницу умеренно негативный. Нефть торгуется стабильно, но риски спада спроса растут. Ситуация с ""Северными потоками"" может существенно осложнить геополитический фон, не говоря уже о внутренних решениях в России. Российские инвесторы могут проявить осторожность перед выходными, избавляясь от бумаг с наибольшим риском. Рубль также может ослабнуть по факту завершения месяца, хотя свои коррективы способны внести экспортеры, спасающие свои средства из иностранных юрисдикций.По словам главного аналитика Промсвязьбанка Владимира Соловьева, в пятницу мировые рынки пытаются удержаться от дальнейшего снижения, возможно формирование коррекционного отскока.Акции ""Газпрома"" выросли на вечерней сессии в четверг. Спрос на бумаги подогревается ожиданиями пятничного решения акционеров по промежуточным дивидендам компании. Индекс МосБиржи в пятницу будет двигаться в диапазоне 1950-2000 пунктов с попытками преодоления верхней границы, считает аналитик.Аналитики ""БКС Мир инвестиций"" также полагают, что взгляды инвесторов в пятницу будут прикованы к итогам собрания акционеров ""Газпрома"" - положительное решение по выплате дивидендов будет позитивно как для самой бумаги, так и для индексов в целом, потому что компания занимает в них максимальный вес. В России также состоится выступление президента РФ по поводу подписания договоров о вхождении в состав России новых территорий.Заместитель директора аналитического департамента Freedom Finance Global Георгий Ващенко полагает, что акционеры ""Газпрома"" утвердят рекомендацию о выплате 1,2 трлн руб. дивидендов (51,03 руб. на бумагу). Это вызовет бурный, но кратковременный рост котировок - можно ориентироваться на диапазон 220-260 руб. за акцию. При этом факторов для быстрого закрытия дивидендного ""гэпа"" не просматривается.В центре внимания остаются геополитические события. В случае снижения индекса МосБиржи к 1900 пунктам ""медведи"" могут еще более активизироваться. При резком падении индекса нельзя исключать, что будут приняты меры, препятствующие распродажам, как это было сделано в апреле. Рубль может укрепиться на фоне возможного введения новых антироссийских санкций, полагает Ващенко.В США накануне индексы акций снизились на 1,5-2,8%, индикатор S&P 500 (-2,1%) завершил торги на минимуме с ноября 2020 года на фоне статданных, укрепивших инвесторов во мнении, что Федеральная резервная система (ФРС) продолжит быстрое ужесточение денежно-кредитной политики.Статданные, опубликованные 29 сентября, подтвердили, что инфляция в Штатах замедляется не так быстро, как ожидалось, в то время как ситуация на рынке труда остается благоприятной. Это показывает, что экономика США справляется с ужесточением монетарной политики и у Федрезерва по-прежнему остается пространство для маневра, отмечает Market Watch.Оценка снижения ВВП США в апреле-июне была подтверждена министерством торговли страны на уровне 0,6% в пересчете на годовые темпы, что совпало с ожиданиями экспертов, опрошенных Trading Economics. Индекс потребительских цен без учета продуктов питания и энергоносителей (PCE Core), который внимательно отслеживает ФРС при оценке рисков инфляции, вырос во втором квартале на 4,7% по сравнению с предыдущим кварталом, а не на 4,4%, как сообщалось ранее.В пятницу в Азии также преобладает негативная динамика индексов акций (японский Nikkei 225 просел на 1,8%, южнокорейский KOSPI - на 0,7%, китайский Shanghai Composite потерял 0,5%, гонконгский Hang Seng подрос на 0,2%), ""плюсуют"" американские фондовые фьючерсы (контракт на индекс S&P500 подрос на 0,4%).Деловая активность в промышленном секторе Китая в сентябре упала до 48,1 пункта по сравнению с 49,5 пункта месяцем ранее, свидетельствует индекс менеджеров по закупкам (PMI), рассчитываемый Caixin Media и S&P Global. Это минимальная отметка с мая. Значение PMI выше отметки в 50 пунктов указывает на рост активности в секторе, ниже - на ее ослабление. Аналитики в среднем ожидали сохранения показателя на августовском уровне, сообщает Trading Economics.Между тем аналогичный официальный индикатор увеличился до 50,1 пункта по сравнению с 49,4 пункта в августе, сообщило Государственное статистическое управление. Индикатор превысил данный уровень впервые за три месяца.Экономика Великобритании во II квартале 2022 года выросла на 0,2% по сравнению с предыдущими тремя месяцами, свидетельствуют окончательные данные Национального статистического управления (ONS). Предварительно сообщалось о снижении ВВП на 0,1%, аналитики не ожидали пересмотра данных. Оценка роста британской экономики относительно второго квартала 2021 года была улучшена до 4,4% с 2,9%. Эксперты также не ожидали ее пересмотра.На нефтяном рынке цены утром в пятницу умеренно растут, но завершают в ""минусе"" четвертый месяц подряд.Стоимость ноябрьских фьючерсов на Brent к 10:01 по московскому времени составила $88,59 за баррель (+0,1% и -0,9% в четверг), ноябрьская цена WTI - $81,41 за баррель (+0,2% и -0,9% накануне).Нефтяные рынки находятся под давлением с июня на фоне ужесточения денежно-кредитной политики многих крупнейших центробанков, что вызывает опасения по поводу рецессии в мировой экономике и ослабления спроса, пишет Trading Economics.Дополнительное негативное влияние на котировки оказывает рост доллара. Цены на нефть могут впервые продемонстрировать квартальный спад с первого квартала 2020 года.Тем временем внимание рынка постепенно переключается на приближающееся заседание ОПЕК+, которое состоится 5 октября. Аналитики не исключают, что альянс может принять решение о значительном сокращении добычи нефти из-за падения цен.",2022-09-30T10:20
2,Amazon наймет 150 тысяч временных сотрудников на праздничный сезон,https://www.interfax.ru/business/866626,"Москва. 6 октября. INTERFAX.RU - Крупнейший в мире интернет-ритейлер Amazon.com Inc. планирует нанять 150 тысяч временных к приближающемуся сезону праздников.Они будут заниматься упаковкой, сортировкой и поставкой товаров, сообщила компания. Средняя зарплата временных работников составит $19 в час.Наибольшее число вакансий будет открыто в Калифорнии, Айдахо, Иллинойсе, Айове, Мичигане, Миссури, Техасе, Теннесси, Юте и Вашингтоне.Ранее на этой неделе компания сообщила, что приостанавливает прием сотрудников на работу в своем основном розничном подразделении до конца текущего года.Таким образом, Amazon стала еще одной крупной технологической компанией, которая замораживает штат на фоне негативных экономических факторов, включая замедление темпов роста розничного сегмента, отмечает The Wall Street Journal.Ограничения на привлечение новых сотрудников касаются только розничного подразделения Amazon и не распространяется на другие части компании, такие как высокодоходный ""облачный"" бизнес Amazon Web Services или масштабные складские операции, где работают сотни тысяч рабочих.",2022-10-06T15:06
3,В Думе рекомендовали уточнить законопроект о регулировании маркетплейсов,https://www.interfax.ru/business/866439,"Москва. 5 октября. INTERFAX.RU - Правительственный законопроект регулировании цифровых рынков (так называемый пятый антимонопольный пакет, регулирующий работу маркетплейсов) не дает однозначного толкования - будут ли его нормы распространяться на все сайты, документ нужно уточнить, говорится в заключении комитета Госдумы по IT.Заключение на законопроект № 160280-8 опубликовано в электронной базе Думы.Ранее директор департамента стратегического развития финансового рынка Банка России Михаил Ковригин говорил о похожем замечании к законопроекту, но в части финансового сектора. По его словам, пятый антимонопольный пакет ФАС, который затрагивает регулирование цифровых рынков, необходимо доработать, чтобы исключить подпадание традиционных финансовых бирж под новые правила.""Вот о маркетплейсах мы уже поговорили, вместе с тем у нас в настоящее время пакет так сформулирован, что, по нашему мнению, целесообразно более акцентно исключить из него такие традиционные платформы, как биржи. Поскольку биржи, вот они, на наш взгляд, в контексте этого регулирования должны были бы быть обособлены"", - заявил он на парламентских слушаниях комитета по защите конкуренции Госдумы.В июле правительство внесло в Госдуму законопроект о регулировании цифровых рынков. Статья о доминирующем положении дополнялась новой частью, по которой ФАС наделяется полномочиями при анализе конкуренции на товарном рынке, где сделки заключаются на платформах через интернет, устанавливать наличие ""сетевых эффектов"" и давать оценку возможности компании оказывать решающее влияние на общие условия обращения товара.Также вводилось новое определение: ""сетевой эффект"" на товарном рынке. Это влияние компании через интернет на совершение сделок между продавцами и покупателями определенных товаров на товарном рынке за счет увеличения числа таких продавцов и покупателей.Критерии доминирующего положения для агрегаторов онлайн-торговли, использующих ""сетевой эффект"", предлагалось установить следующие: размер выручки за предыдущий год превышает 2 млрд рублей, доля сделок у конкретного онлайн-агрегатора от совокупной стоимости сделок на определенном товарном рынке составляет более 35%, агрегатор имеет возможность устранять с товарного рынка других хозяйствующих субъектов или затруднять их доступ на этот товарный рынок. Поправки также вводили новое условие контроля ФАС сделок экономической концентрации - если цена сделки превышает 7 млрд руб.Профильный комитетом Госдумы по законопроекту - комитет по защите конкуренции, он еще не представил своего заключения. Дата рассмотрения документа в первом чтении также не определена.",2022-10-05T17:05
4,Число заявок на пособие по безработице в США выросло максимальными темпами с июня,https://www.interfax.ru/business/866636,"Москва. 6 октября. INTERFAX.RU - Количество американцев, впервые обратившихся за пособием по безработице, на прошлой неделе увеличилось на 29 тысяч и составило 219 тысяч человек, сообщило Министерство труда США.Темпы повышения показателя стали максимальными с июня 2022 года, а его значение - максимальным с конца августа.По пересмотренным данным, неделей ранее число заявок составило 190 тысяч, а не 193 тысячи, как сообщалось до этого.Аналитики в среднем ожидали повышения показателя до 204 тысяч по сравнению с ранее объявленным уровнем предыдущей недели, отмечал Bloomberg.Среднее число заявок за последние четыре недели, менее волатильный показатель, увеличилось на 250 - до 206,5 тысячи.Количество продолжающих получать пособие по безработице американцев за неделю, завершившуюся 24 сентября, поднялось до 1,361 млн с пересмотренных 1,346 млн в предшествующую неделю.Эксперты в среднем прогнозировали снижение до 1,345 млн с объявленных ранее 1,347 млн, согласно данным Trading Economics.",2022-10-06T15:38
5,План Байдена списывать кредиты студентов обойдется бюджету США $379 млрд за 30 лет,https://www.interfax.ru/world/866501,"Москва. 5 октября. INTERFAX.RU - Предложение президента США Джо Байдена снизить долговую нагрузку на американцев, бравших кредиты на образование, обойдется бюджету страны в среднем в $30 млрд в год в следующее десятилетие, подсчитали в Министерстве образования страны.В следующие 30 лет стоимость этого плана обойдется Штатам в $379 млрд в текущих ценах, предупредило ведомство.Ранее Бюджетное управление Конгресса США (CBO) оценило, что списание студенческих кредитов обойдется стране примерно в $400 млрд в следующие 30 лет, а размер непогашенных кредитов на образование увеличится на $20 млрд в этом году.Байден объявил о программе списания образовательных кредитов на сумму от $10 тысяч до $20 тысяч в конце августа. Под критерии программы попадают американцы, которые зарабатывают менее $125 тысяч в год, а также семейные пары, совокупный доход которых не превышает $250 тысяч в год.Власти США ожидают, что в программе списания студенческого долга поучаствуют более 40 млн человек.Совокупный размер непогашенных кредитов на образование в США оценивается в $1,7 трлн. Дискуссии о необходимости федеральных мер по сокращению долговой нагрузки на бывших студентов ведутся уже долгое время, поскольку многие американцы жалуются на невозможность расплатиться со студенческим долгом даже спустя десятилетия и при относительно высокой зарплате.Дефицит бюджета США в текущем финансовом году составит $1,03 трлн, согласно августовской оценке Белого дома. По сравнению с предыдущим фингодом отрицательное сальдо сократится примерно на $1,7 трлн, однако все еще будет выше, чем в допандемийном 2019 фингоду, когда дефицит составлял $984 млрд.",2022-10-05T21:15
6,ОПЕК+ решила снизить квоты на добычу нефти в ноябре,https://www.interfax.ru/world/866444,"Москва. 5 октября. INTERFAX.RU - Министры стран ОПЕК+ на заседании в среду приняли решение сократить квоты на добычу нефти в ноябре на 2 млн б/с. Об этом сообщило агентство Bloomberg со ссылкой на делегата.Реальное снижение добычи будет меньше, поскольку по состоянию на август страны ОПЕК+ отстают от разрешенных уровней добычи на 3,6 млн б/с.Соответственно, квота по добыче для Саудовской Аравии и России снижается до 10,5 млн б/с. При этом Саудовская Аравия в августе добывала 10,9 млн б/с, отставая от своей квоты на 100 тыс. б/с. В октябре квоты ОПЕК+ соответствуют уровням августа.Россия в августе добывала 9,8 млн б/с, то есть имеет возможность увеличить добычу на 700 тыс. б/с.",2022-10-05T17:11
7,CFO Tyson Foods назначен сын председателя совета директоров компании,https://www.interfax.ru/business/865406,"Москва. 28 сентября. INTERFAX.RU - Американский производитель продуктов питания Tyson Foods Inc. сделал перестановки в руководстве компании, в том числе сменил финансового директора.Новым CFO назначен действующий исполнительный вице-президент по стратегии и директор по вопросам устойчивости Джон Р. Тайсон, сын председателя совета директоров Tyson Foods Джона Тайсона. Кроме того, он станет новым исполнительным вице-президентом.Тайсон сменит в должности CFO Стюарта Глендиннинга, который, в свою очередь, станет президентом сегмента готовой пищевой продукции. Ранее эту должность занимала Ноэль О'Мара, но она решила покинуть компанию, говорится в сообщении Tyson Foods.Тайсон ранее работал в сфере инвестиционного банкинга в JPMorgan Chase & Co. В новой должности в Tyson Foods он также продолжит отвечать за стратегию компании и политику в области устойчивого развития.В сообщении Tyson Foods также говорится, что компания назначила президентом по международным рынкам и директором по административным вопросам Эми Ту, которая на данный момент занимает должность исполнительного вице-президента и директора юридического отдела.Tyson Foods в третьем квартале 2022 финансового года получила скорректированную прибыль хуже прогноза аналитиков и незначительно увеличила чистую прибыль.",2022-09-28T20:58
8,Цена Brent стабилизировалась у $92 за баррель на решениях ОПЕК+,https://www.interfax.ru/business/866460,"Москва. 5 октября. INTERFAX.RU - Цены на нефть почти не меняются в среду вечером после того, как стало известно о решении министров стран ОПЕК+ сократить добычу в следующем месяце на 2 млн баррелей в сутки.К 17:38 по Москве декабрьские фьючерсы на Brent дорожали на лондонской бирже ICE Futures на $0,14 (0,15%) - до $91,94 за баррель. В ходе торгов днем цена этих контрактов поднималась выше $93 за баррель - максимума за две недели, на ожиданиях трейдеров публикации решения ОПЕК+.Ноябрьские фьючерсы на WTI к этому времени дешевели на Нью-Йоркской товарной бирже (NYMEX) на $0,15 (0,17%) - до $86,37 за баррель.Министры стран ОПЕК+ 5 октября в Вене решили сократить квоты на добычу нефти в ноябре на 2 млн б/с. Реальное снижение добычи будет меньше, поскольку по состоянию на август ОПЕК+ отстает от разрешенных уровней добычи на 3,6 млн б/с.Соответственно, квота по добыче для Саудовской Аравии и России снижается до 10,5 млн б/с. При этом Саудовская Аравия в августе добывала 10,9 млн б/с, отставая от своей квоты на 100 тыс. б/с. В октябре квоты ОПЕК+ соответствуют уровням августа.Россия в августе добывала 9,8 млн б/с, то есть имеет возможность увеличить добычу на 700 тысяч б/с.Коммерческие запасы нефти в США на прошлой неделе уменьшились на 1,36 млн баррелей - до 429,2 млн баррелей, сообщило Минэнерго страны. Товарные запасы бензина снизились на 4,73 млн баррелей, до 207,46 млн баррелей, запасы дистиллятов уменьшились на 3,44 млн баррелей, до 110,92 млн баррелей.Эксперты ожидали роста запасов нефти на 1,8 млн баррелей, уменьшения запасов бензина на 1,1 млн баррелей и падения запасов дистиллятов на 1,5 млн баррелей.",2022-10-05T18:04
9,"ЦБ счел, что дивиденды ""Газпрома"" помогут закрыть часть выпавших доходов бюджета",https://www.interfax.ru/business/865578,"Москва. 29 сентября. INTERFAX.RU - Долгожданные для фондового рынка дивиденды ""Газпрома"" помогут не только инвесторам, но и федеральному бюджету, причем для него эти поступления квалифицируются как ненефтегазовые доходы.""Ухудшение деловой и потребительской активности в 2022-2023 годах несет риски для поступлений ненефтегазовых доходов (ННГД). В 2022 году выпадающие поступления по ННГД (в особенности по поступлениям, связанным с потреблением и импортом) могут быть частично компенсированы дивидендами ПАО ""Газпром"" (0,6 трлн руб.), иными мерами по повышению собираемости ННГД, а также высоким объемом нефтегазовых доходов"", - говорится в обновленном проекте Основных направлений единой государственной денежно-кредитной политики на 2023-2025 годы, который ЦБ направил в Госдуму и опубликовал в четверг.Предыдущую редакцию документа ЦБ раскрывал в августе, в нем про дивиденды ""Газпрома"" речь не шла: от годовых дивидендов акционеры компании уже успели отказаться, не одобрив их на собрании, а информации о промежуточных (в почти таком же объеме) еще не появилась.Общая сумма промежуточных дивидендов ""Газпрома"", если они будут одобрены на заочном ВОСА 30 сентября, составит 1,2 трлн руб. (выплаты на акцию - 51,03 руб.).Цифра 0,6 трлн руб., о которой пишет ЦБ - это дивиденды на 50% акций ""Газпрома"", то есть не только на ""прямой"" госпакет (38,4%), но и на долю ""Роснефтегаза"" и ""Росгазификации"".",2022-09-29T19:00
10,Баку оставил на усмотрение ЕС распределение допобъемов газа из Азербайджана,https://www.interfax.ru/business/865915,"Москва. 2 октября. INTERFAX.RU - Азербайджан нацелен на удвоение поставок газа в Европу к 2027 году, а членам Европейского союза (ЕС) следует самим определить, как будут распределены будущие объемы газа, заявил министр экономики Азербайджана Микаил Джаббаров.""Мы уже ведем переговоры с нашими партнерами, как за рубежом, так и внутри страны. Наша идея состоит в том, чтобы увеличить свое производство. (...) Наша цель - удвоить эти объемы (поставок газа) к 2027 году. Это ключевой приоритет для нас. Теперь вопрос о том, как эти объемы будут распределяться между различными европейскими странами, это должны определить сами государства-члены Европейского союза"", - заявил в интервью Euronews Bulgaria Джаббаров.Он заявил о наличии у Азербайджана возможностей для увеличения объемов экспорта газа за счет начала добычи еще на нескольких газовых месторождениях.Министр также добавил, что в Баку рассматривают все варианты для максимального покрытия потребления газа в Болгарии, ""насколько это возможно"".Как сообщалось ранее, Азербайджан 31 декабря 2020 года начал поставки газа в Европу - Италию, Грецию и Болгарию - по Транс-Адриатическому трубопроводу (TAP).В 2021 году Азербайджан экспортировал в Европу 8,2 млрд кубометров. В 2022 году экспорт газа из Азербайджана в Европу прогнозируется на уровне 11,5 млрд кубометров, к 2027 году, как ожидается, вырастет до 20 млрд кубометров.",2022-10-02T20:12
